adjectives,,,,,,,,,,,,,,cardinal numbers,,,,,,,,,,,,,,pronouns,,,,,,,,,,,,,,participles,,,,,,,,,,,,,,masculine nouns,,,,,,,,,,,,feminine nouns,,,,,,neuter nouns,,,,,,verbs,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a adj,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,i card,fem sg,,,,,,,,,,,,,ta pron,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,a pp,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,a masc,masc sg,,masc pl,,,,,,,,,ā f,fem sg,,fem pl,,,aṃ nt,neut sg,,neut pl,,,ati pr,sg,,pl,,reflx sg,,reflx pl,,
nom,o,m.nom.sg,ā,m.nom.pl,ā,f.nom.sg,"ā
āyo",f.nom.pl,aṃ,nt.nom.sg,"ā
āni",nt.nom.pl,,nom,i,f.nom.sg,,,,,,,,,,,,nom,"so
sa",m.nom.sg,"ne
te
se",m.nom.pl,sā,f.nom.sg,"nā
tā
nāyo
tāyo",f.nom.pl,"naṃ
taṃ
tad
se",nt.nom.sg,"ne
te
nāni
tāni",nt.nom.pl,,nom,o,m.nom.sg,"ā
āse",m.nom.pl,ā,f.nom.sg,"ā
āyo",f.nom.pl,aṃ,nt.nom.sg,"ā
āni",nt.nom.pl,,nom,o,m.nom.sg,ā,m.nom.pl,,,,,,,,nom,ā,f.nom.sg,"ā
āyo",f.nom.pl,,nom,aṃ,nt.nom.sg,"ā
āni",nt.nom.pl,,pr 3rd,ati,pr.3.sg,anti,pr.3.pl,ate,pr.reflx.3.sg,"ante
are",pr.reflx.3.pl,
acc,aṃ,m.acc.sg,e,m.acc.pl,aṃ,f.acc.sg,"ā
āyo",f.acc.pl,aṃ,nt.acc.sg,"ā
āni",nt.acc.pl,,acc,iṃ,f.acc.sg,,,,,,,,,,,,acc,"naṃ
taṃ",m.acc.sg,"ne
te
se",m.acc.pl,"naṃ
taṃ",f.acc.sg,"nā
tā
nāyo
tāyo",f.acc.pl,"naṃ
taṃ
tad",nt.acc.sg,"ne
te
nāni
tāni",nt.acc.pl,,acc,aṃ,m.acc.sg,e,m.acc.pl,aṃ,f.acc.sg,"ā
āyo",f.acc.pl,aṃ,nt.acc.sg,"ā
āni",nt.acc.pl,,acc,aṃ,m.acc.sg,e,m.acc.pl,,,,,,,,acc,aṃ,f.acc.sg,"ā
āyo",f.acc.pl,,acc,aṃ,nt.acc.sg,"e
āni",nt.acc.pl,,pr 2nd,asi,pr.2.sg,atha,pr.2.pl,ase,pr.reflx.2.sg,avhe,pr.reflx.2.pl,
instr,ena,m.instr.sg,"ehi
ebhi",m.instr.pl,āya,f.instr.sg,āhi,f.instr.pl,ena,nt.instr.sg,"ehi
ebhi",nt.instr.pl,,instr,iyā,f.instr.sg,,,,,,,,,,,,instr,"nena
tena",m.instr.sg,"nehi
tehi",m.instr.pl,"nāya
tāya",f.instr.sg,"nāhi
tāhi",f.instr.pl,"nena
tena",nt.instr.sg,"nehi
tehi",nt.instr.pl,,instr,ena,m.instr.sg,"ehi
ebhi",m.instr.pl,āya,f.instr.sg,āhi,f.instr.pl,ena,nt.instr.sg,"ehi
ebhi",nt.instr.pl,,instr,ena,m.instr.sg,"ehi
ebhi",m.instr.pl,,,,,,,,instr,āya,f.instr.sg,āhi,f.instr.pl,,instr,ena,nt.instr.sg,"ehi
ebhi",nt.instr.pl,,pr 1st,āmi,pr.1.sg,āma,pr.1.pl,e,pr.reflx.1.sg,āmhe,pr.reflx.1.pl,
dat,"āya
assa",m.dat.sg,ānaṃ,m.dat.pl,āya,f.dat.sg,ānaṃ,f.dat.pl,"āya
assa",nt.dat.sg,ānaṃ,nt.dat.pl,,dat,iyā,f.dat.sg,,,,,,,,,,,,dat,"nassa
tassa",m.dat.sg,"nesaṃ
nesānaṃ
tesaṃ
tesānaṃ",m.dat.pl,"tissā
tissāya
tassā
tassāya",f.dat.sg,"tāsaṃ
tasānaṃ
nāsaṃ
nāsānaṃ",f.dat.pl,"nassa
tassa",nt.dat.sg,"nesaṃ
nesānaṃ
tesaṃ
tesānaṃ",nt.dat.pl,,dat,"āya
assa",m.dat.sg,ānaṃ,m.dat.pl,āya,f.dat.sg,ānaṃ,f.dat.pl,"āya
assa",nt.dat.sg,ānaṃ,nt.dat.pl,,dat,"āya
assa",m.dat.sg,ānaṃ,m.dat.pl,,,,,,,,dat,āya,f.dat.sg,ānaṃ,f.dat.pl,,dat,"āya
assa",nt.dat.sg,ānaṃ,nt.dat.pl,,imp 3rd,atu,imp.3.sg,antu,imp.3.pl,ataṃ,imp.reflx.3.sg,antaṃ,imp.reflx.3.pl,
abl,"ā
amhā
asmā",m.abl.sg,"ehi
ebhi",m.abl.pl,āya,f.abl.sg,āhi,f.abl.pl,"ā
amhā
asmā",nt.abl.sg,"ehi
ebhi",nt.abl.pl,,abl,iyā,f.abl.sg,,,,,,,,,,,,abl,"namhā
nasmā
tamhā
tasmā",m.abl.sg,"nehi
tehi",m.abl.pl,"nāya
tāya",f.abl.sg,"nāhi
tāhi",f.abl.pl,"namhā
nasmā
tamhā
tasmā",nt.abl.sg,"nehi
tehi",nt.abl.pl,,abl,"ā
amhā
asmā",m.abl.sg,"ehi
ebhi",m.abl.pl,āya,f.abl.sg,āhi,f.abl.pl,"ā
amhā
asmā",nt.abl.sg,"ehi
ebhi",nt.abl.pl,,abl,"ā
amhā
asmā",m.abl.sg,"ehi
ebhi",m.abl.pl,,,,,,,,abl,āya,f.abl.sg,āhi,f.abl.pl,,abl,"ā
amhā
asmā",nt.abl.sg,"ehi
ebhi",nt.abl.pl,,imp 2nd,"āhi
a",imp.2.sg,atha,imp.2.pl,assu,imp.reflx.2.sg,avho,imp.reflx.2.pl,
gen,assa,m.gen.sg,ānaṃ,m.gen.pl,āya,f.gen.sg,ānaṃ,f.gen.pl,assa,nt.gen.sg,ānaṃ,nt.gen.pl,,gen,iyā,f.gen.sg,,,,,,,,,,,,gen,"nassa
tassa",m.gen.sg,"nesaṃ
nesānaṃ
tesaṃ
tesānaṃ",m.gen.pl,"tissā
tissāya
tassā
tassāya",f.gen.sg,"tāsaṃ
tasānaṃ
nāsaṃ
nāsānaṃ",f.gen.pl,"nassa
tassa",nt.gen.sg,"nesaṃ
nesānaṃ
tesaṃ
tesānaṃ",nt.gen.pl,,gen,assa,m.gen.sg,ānaṃ,m.gen.pl,āya,f.gen.sg,ānaṃ,f.gen.pl,assa,nt.gen.sg,ānaṃ,nt.gen.pl,,gen,assa,m.gen.sg,ānaṃ,m.gen.pl,,,,,,,,gen,āya,f.gen.sg,ānaṃ,f.gen.pl,,gen,assa,nt.gen.sg,ānaṃ,nt.gen.pl,,imp 1st,āmi,imp.1.sg,āma,imp.1.pl,e,imp.reflx.1.sg,āmase,imp.reflx.1.pl,
loc,"e
amhi
asmiṃ",m.loc.sg,esu,m.loc.pl,"āya
āyaṃ",f.loc.sg,āsu,f.loc.pl,"e
amhi
asmiṃ",nt.loc.sg,esu,nt.loc.pl,,loc,"iyā 
iyaṃ",f.loc.sg,,,,,,,,,,,,loc,"namhi
nasmiṃ
tamhi
tasmiṃ",m.loc.sg,"nesu
tesu",m.loc.pl,"tissaṃ
tassaṃ
tāyaṃ
nāyaṃ",f.loc.sg,"nāsu
tāsu",f.loc.pl,"namhi
nasmiṃ
tamhi
tasmiṃ",nt.loc.sg,"nesu
tesu",nt.loc.pl,,loc,"e
amhi
asmiṃ",m.loc.sg,esu,m.loc.pl,"āya
āyaṃ",f.loc.sg,āsu,f.loc.pl,"e
amhi
asmiṃ",nt.loc.sg,esu,nt.loc.pl,,loc,"e
amhi
asmiṃ",m.loc.sg,esu,m.loc.pl,,,,,,,,loc,"āya
āyaṃ",f.loc.sg,āsu,f.loc.pl,,loc,"e
amhi
asmiṃ",nt.loc.sg,esu,nt.loc.pl,,opt 3rd,"eyya
e",opt.3.sg,eyyuṃ,opt.3.pl,etha,opt.reflx.3.sg,eraṃ,opt.reflx.3.pl,
voc,"a
ā",m.voc.sg,ā,m.voc.pl,e,f.voc.sg,"ā
āyo",f.voc.pl,"a
ā",nt.voc.sg,āni,nt.voc.pl,,in comps,"i
ī",,,,,,,,,,,,,in comps,,,,,,,,,,,,,,voc,"a
ā",m.voc.sg,ā,m.voc.pl,e,f.voc.sg,"ā
āyo",f.voc.pl,"a
ā",nt.voc.sg,āni,nt.voc.pl,,voc,"a
ā",m.voc.sg,ā,m.voc.pl,,,,,,,,voc,e,f.voc.sg,"ā
āyo",f.voc.pl,,voc,"a
ā",nt.voc.sg,āni,nt.voc.pl,,opt 2nd,"eyyāsi
e",opt.2.sg,"eyyātha
etha",opt.2.pl,etho,opt.reflx.2.sg,"eyyavho
eyyāvho",opt.reflx.2.pl,
in comps,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in comps,a,,,,,,,,,,,in comps,"a
ā",,,,,in comps,a,,,,,opt 1st,"eyyāmi
e",opt.1.sg,"eyyāma
ema
emu",opt.1.pl,eyyaṃ,opt.reflx.1.sg,eyyāmhe,opt.reflx.1.pl,
,,,,,,,,,,,,,,eka card,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,a pron,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,present participle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fut 3rd,issati,fut.3.sg,issanti,fut.3.pl,issate,fut.reflx.3.sg,issante,fut.reflx.3.pl,
