33 256,33186,29036
Pāli1,Stem,Pattern
ā,ind,
a 1,,
a 2,ind,
a 3,ind,
a 4,ind,
a 5,ind,
ababa 1,abab,aṃ nt
ababa 2,,
ababhāsa,,
abaddha,abaddh,a adj
ābaddha,ābaddh,a pp
abādha,abādh,a adj
ābādha,ābādh,a m
ābādhato,ind,
abādhesi,abādh,esi aor
ābādheti,ābādh,eti pr
ābādhika,ābādhik,a m
ābādhikinī,ābādhikin,ī f
ābādhita,ābādhit,a pp
abahulīkata,abahulīkat,a adj
abala,abal,a adj
abalā 1,abal,ā f
abalā 2,abal,ā f
abalabala,abalabal,a adj
ābandhaka,ābandhak,a adj
ābandhana,ābandhan,aṃ nt
abandhana 1,abandhan,a adj
abandhana 2,abandhan,a adj
abandhanokāsa,abandhanokās,a adj
ābandhati,ābandh,ati pr
ābandhi,ābandh,i aor
abbahe,abbah,eyya opt
abbaṇa,abbaṇ,a adj
abbata,abbat,aṃ nt
abbh,ind,
abbha,abbh,aṃ nt
abbhācikkhana,abbhācikkhan,aṃ nt
abbhācikkhati 1,abbhācikkh,ati pr
abbhācikkhati 2,abbhācikkh,ati pr
abbhācikkhi,abbhācikkh,i aor
abbhāgamana,abbhāgaman,aṃ nt
abbhāgata 1,abbhāgat,a adj
abbhāgata 2,abbhāgat,a pp
abbhāghāta,abbhāghāt,a m
abbhāghātanissita,abbhāghātanissit,a adj
abbhāhata,abbhāhat,a pp
abbhaka,abbhak,aṃ nt
abbhakalekhanī,abbhakalekhan,ī f
abbhakkhāna,abbhakkhān,aṃ nt
abbhakkhāsi,abbhakkh,āsi aor
abbhakkhāti,abbhakkh,āti pr
abbhakūṭa,abbhakūṭ,aṃ nt
abbhamatta,abbhamatt,a adj
abbhāmatta,abbhāmatt,a adj
abbhañjana,abbhañjan,aṃ nt
abbhañjati,abbhañj,ati pr
abbhañji,abbhañj,i aor
abbhañjita,abbhañjit,a pp
abbhaññāsi,abbhaññ,āsi aor
abbhantara 1,abbhantar,a adj
abbhantara 2,abbhantar,aṃ nt
abbhantarika,abbhantarik,a adj
abbhantarima,abbhantarim,a adj
abbhanu,ind,
abbhanumodanā,abbhanumodan,ā f
abbhanumodati,abbhanumod,ati pr
abbhanumodi,abbhanumod,i aor
abbhapaṭala,abbhapaṭal,aṃ nt
abbhāsa,abbhās,a m
abbhāsagata,abbhāsagat,a adj
abbhatīta,abbhatīt,a adj
abbhattha,abbhatth,aṃ nt
abbhatthaṃ gacchati,abbhatthaṃ gacch,ati pr
abbhaya,abbhay,a adj
abbhetabba,abbhetabb,a ptp
abbheti,abbh,eti pr
abbhisambuddha,abbhisambuddh,a pp
abbhokāsa,abbhokās,a m
abbhokāsika,abbhokāsik,a m
abbhokāsikatta,abbhokāsikatt,aṃ nt
abbhokiṇṇa,abbhokiṇṇ,a adj
abbhokiraṇa,abbhokiraṇ,aṃ nt
abbhokirati,abbhokir,ati pr
abbhokiri,abbhokir,i aor
abbhudesi,abbhud,esi aor
abbhudeti,abbhud,eti pr
abbhuggacchati,abbhuggacch,ati pr
abbhuggacchi,abbhuggacch,i aor
abbhuggamana,abbhuggaman,aṃ nt
abbhuggantvā,ind,
abbhuggata,abbhuggat,a pp
abbhuggiraṇa,abbhuggiraṇ,aṃ nt
abbhuggirati,abbhuggir,ati pr
abbhuggiri,abbhuggir,i aor
abbhukkiraṇa,abbhukkiraṇ,aṃ nt
abbhukkirati,abbhukkir,ati pr
abbhukkiri,abbhukkir,i aor
abbhumme,ind,
abbhunnata,abbhunnat,a adj
abbhussakkamāna,abbhussakk,amāna prp
abbhuta 1,abbhut,a adj
abbhuta 2,abbhut,aṃ nt
abbhutadhamma,abbhutadhamm,aṃ nt
abbhutaṃ,ind,
abbhutasālā,abbhutasāl,ā f
abbhuṭṭhāna,abbhuṭṭhān,aṃ nt
abbhuyyāta,abbhuyyāt,a pp
abbhuyyāti,abbhuyy,āti pr
abbocchinna,abbocchinn,a adj
abbohārika,abbohārik,a adj
abbokiṇṇa,abbokiṇṇ,a adj
abbuda 1,abbud,aṃ nt
abbuda 2,abbud,aṃ nt
abbuda 3,abbud,aṃ nt
abbuda 4,abbud,aṃ nt
abbuda 5,abbud,aṃ nt
abbuhati,abbuh,ati pr
abbūhati,abbūh,ati pr
abbuhetvā,ind,
abbūhi,abbūh,i aor
abbūḷha,abbūḷh,a pp
abbūḷhesika,abbūḷhesik,a adj
abbuyha,ind,
ābhā,ābh,ā f
abhabba,abhabb,a adj
abhabbatā,abhabbat,ā f
abhaṇi,abhaṇ,i aor
abhaññāsi,abhaññ,āsi aor
ābharaṇa,ābharaṇ,aṃ nt
ābhāsa,ābhās,a m
abhāsamāna,abhās,amāna prp
abhāsanta,abhās,anta prp
abhāsi 1,abh,āsi aor
abhāsi 2,abh,āsi aor
ābhassara,ābhassar,a adj
ābhata,ābhat,a pp
ābhāti,ābh,āti pr
abhāva 1,abhāv,a m
abhāva 2,abhāv,a m
abhāvanīya,abhāvanīy,a adj
abhavi,abhav,i aor
abhaviṃsu,abhav,i aor
abhavissa,abhav,issa cond
abhavissaṃsu,abhav,issa cond
abhāvita,abhāvit,a adj
abhāvitacitta,abhāvitacitt,a adj
